sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes
10961001,Icetech,"Metod för att med hjälp av kolsyreblästring rengöra maskiner, särskilt värmebatterier i virkestorkar.",,2011,45,2,162;203,1,"""De vill inte prata om reda pengar
då kostnaden kommer upp men
säger att det rör sig om en återbetalningstid
på några månader i
minskad energiförbrukning och
då är fördelar som minskat slitage,
ökad kapacitet och höjd kvalitet
inte medräknat."" 11947-01-00"
10974001,DuraPulp,"Biokomposit av mixat träfiber och PLA-plast, ""nedbryt- och återvinningsbart"". Kompositen kan formas med hjälp av konventionell varmformning.",,2015,20,1;2,114;207;107,1,"""Vi blandar ned en polymer, som vi
får från stärkelsen i majs, i pappersmassan.
[…] Då får vi ett material som
ser ut och som kan användas som
plast."" 12936-00-00"
10979001,,"Nytt timmerbord med enklare konstruktion som skjuter timret med stegmatare istället för kedjor. Nyckelkomponenten är en skruvad hake, istället för en svetsad, som är enklare att montera, byta ut samt uppges vara starkare.",,2011,20,2,999,1,"""Skillnaden på Logcons bord och
de som normalt används är att timret
skjuts fram med stegmatare
istället för med kedjor. Enligt Lars
ger detta en mängd fördelar.
Även om stockarna inte blir perfekt
placerade gör stegmatningen
att de parallelläggs ganska snart."" 11975-00-00"
11007001,Tetra Gemina Aseptic,"Förpackningssystem ""med aseptiska kartongförpackningar som möjliggör transporter och lagring utan kyla""  (Livsmedel i fokus, 2012, nr. 5, p. 19)",,2012,15,,,,
11008001,CAR,Ett nytt matarverk som centrerar stockar mycket effektivare och mindre våldsamt. Metoden gör även kurvsågning enklare.,,2011,20101,2,103;602,1,"""...att CAR förstärker
bandsågens fördelar när
det gäller utbyte och noggrannhet."" 15304-01-00, ""… med med CAR klarar bandsågen
även att följa dubbelkrok"" 15304-00-00"
11012001,,"En biomaterial-scanner som använder två olika röntgenfrekvenser. Metoden tillåter snabb och exakt mätning av fukthalter (även med frusen massa), till skillnad från den befintliga metoden.",,2010,02,2,103;203;201,1,"""Genom att hela tiden veta fukthalten
på flisen kan man optimera
andra parametrar i processen utifrån
det, vilket i sin tur ger bättre
råvaruutnyttjande, mindre energiåtgång
och lägre förbrukning av
andra tillsatskemikalier, förklarar
Erik Odén."" 12014-00-00"
11014001,,"Ugn med förgasning av trädbränsle, som sedan bränner gasen. Metoden reducerar halten obränt material i askan till nära noll. Förgasaren är flexibel och kan även använda andra biobränslen.",,2011,40,2,211;113,1,"""Gasen som bildas då biobränslet
värms upp bränns här under
speciella förhållanden."", ""Poängen med denna omväg
till flamman är att gasen ger bättre
förbränning och därmed mindre
utsläpp."" 12017-00-00, "
11016001,Evojet,Ny MDF-skive teknik som använder 20-25% mindre lim.,,2011,20,2;0,103,1,"""Finessen med den nya limtekniken
är att limmet fördelas jämnare,
och därmed också mer ekonomiskt,
på fibern än vad man tidigare
har kunnat åstadkomma."" 12018-00-00"
11026001,Träullit,"Element gjorda av en blandning av träull (80 viktprocent) och cement. Materialet är väldigt starkt, isolerande och brinner inte.",,2011,45,2,0,1,"""Träullit är ett mycket enkelt mate rial
och består bara av träull och cement.
En träullitskiva består till 80 viktprocent
av trä."" 12027-00-00"
11028001,,"Hus färdiga för montering som levereras i platta paket, inspirerat av ikea.",,2008,-101,2,999,1,"""Det borde väl gå att leverera hus på samma sätt som bokhyllan Billy? I platta paket, med numererade delar och en monteringsanvisning?"" 12031-00-00: use and   availability of bio-resources"
11037001,AddiFlex,"Ett additiv som ""förändrar de långa molekylkedjorna hos plaster... ...så att mikroorganismer kan angripa dem"" (Kemivärlden Biotech med Kemisk Tidskrift, 2010, nr. 3, p. 8). Detta gör plasterna nedbrytbara.",,2010,25,1,105;201;207,1,"""...de viktigaste
skillnaderna gentemot konkurrenterna
är att additivet inte innehåller tungmetaller..."", ""Själva nedbrytningsprocessen
är mycket enkel, det handlar
om en oxidationsprocess när plasten utsätts
för omgivande syre och där UV-strålning och
gynnsamma temperaturförhållanden hjälper
till. Plasten bryts ner till så små partiklar att
mikroorganismerna i jorden kan ta över och
fortsätta nedbrytningen till naturlig biomassa.
Så totalt övergår polyolefinen till vatten, koldioxid
och ren mull."" 12165-00-00"
11082001,Opcon Powerbox,Powerbox utvinner energi ur spillvärme med hjälp av värmeväxlar och förångare. Det räcker med en lägsta temperatur på 55 grader på spillvattnet för för att få fram gasen. Tekniken bygger på Opcons unika skrivkompressor.,,2007,211,9,203,1,"""Med PowerBox kan delar av den värme som tidigare kyldes bort omvandlas till ny elproduktion"" 12543-00-00; good example bv9"
11098001,,Transport lådor för bl.a läkemedel som är isolerade med olika salter för att klara längre transporter.,,2010,15,9,162;501,1,not forest
11106001,Stabilizor T1,"Instrument och metod som hindrar att biologiska prover bryts ner innan de analyserats. Nedbrytningen avstannar genom ""en kombination av hög temperatur, tryck och vakuum"" (Kemivärlden Biotech med Kemisk Tidskrift, 2011, nr. 1-2, p. 12). Ger mycket högre säkerhet och reproducerbarhet än andra tekniker som ofta baseras på olika kombinationer av kemiska inhibitorer.",,2008,24,1,162,1,"""Metoden baseras på en kombination
av hög temperatur, tryck
och vakuum som avstannar nedbrytningsaktiviteten
i proverna.
Företaget får nu in tolv miljoner"" 12104-00-00; not forest"
11107001,Aco-spektor / Acopulp / Acochem,Sensor som kan mäta bl.a temperatur av flödande vätskor utan beröring genom aktiv akustisk spektroskopi. Teknologin är baserad på äldre patent men är möjlig först nu p.g.a processorkapacitet.,,2010,20,2,103;602;207,1,"""Med hjälp av exakta och kontinuerliga mätvärden
av torrhalten kan förbränningen av
svartluten i sodapannan optimeras.
– Genom att optimera förbränningen i samtliga
sodapannor i Sverige har vi räknat ut att
det går att öka energiproduktionen från svartluten
med upp till två terawattimmar (TWh)..."" 12106-01-00"
11142001,Hype,Tub av biologiskt nedbrytbart material som enbart lämnar biomassa och koldioxid som restprodukt samtidigt som materialet har egenskaper som är snarlika PE och PP.,,2013,15,1;2,402;101;161;114,1,"""Tectubes i Åstorp lanserar nu världens första kommersiella helt biobaserade
tubförpackning på bred front. Biomaterialet kommer från FKuRs Terralene-serie
som är baserat på sockerrörsblast."" 13846-00-00; not forest"
11307001,EXA skate,En ny typ av långfärdsskridsko tillverkad i ett enda stycke rostfritt stål som hjälper åkaren att spara energi. Den har dessutom en inbyggd anti-vibrationsfunktion vilket gör den i princip helt tyst på naturis.,,2009,-101,9,213,1,not forest
11335001,,"en profilerande kompaktlinje med rundkörning utan kantverk som är mycket rationell. (NTT, 2012, nr. 1-2, p. 6)",,2012,20,2,999,1,"""Uppställningen består av reducerare,
profilerare och en stocksåg där vi
fräser bräderna direkt ur stocken innan
de sågas loss i stocksågen. Blocket
går i retur och genom maskingruppen
igen så det behövs ingen separat kantning,
förklarar Stefan Arnqvist."" 12367-00-00"
11339001,,"Produkter, däribland en laptopväska samt en skärbräda, tillverkade av trä som värmebehandlats på ett helt nytt sätt.",,2012,-101,2;3,999,1,"""Grundidén i Wood of Sweden är
övertygelse att det finns outforskade
möjligheter med trä. Genom att
utveckla designprodukter med hög
kvalitet och funktionalitet hoppas
företaget kunna ta svenska naturmaterial
till en ny nivå. Formgivning
och produktion sker i samarbete
med lokala företag i Skellefteå."" 12371-00-00"
11340001,Kugge,Ett hexagonalt kubbgolv av klentimmer som är både stryktåligt och har ljudabsorberande egenskaper. ,,2012,-101,2;3,213;,1,"""Produktionen har
startats upp i Jämtland med närhet
till den egna skogsfastig heten. Där
finns gott om både den senvuxna
gran, som är det träslag företaget
började arbeta med, och även viktig
träbearbetnings kunskap bland
småsågar och hyvlerier.
– För denna skenbart enkla produkt
krävs mycket kunskap och
omsorg i varje förädlingled: Val av
råvara, sågning och torkning av
kärnvirke har varit speciellt utmanande
moment att lösa."" ""Det är något som numera
ofta går förlorat när industrin satsar
på volym och kvantitet. Vi tror
att många har ett behov av den här
typen av omsorg och äkthet i sin
närmiljö och att det finns en framtida
marknad för hantverksmässigt
producerade byggprodukter,
säger Oscar Carlsson."" 12372-00-00; good example bv3"
11341001,Dynamisk facksättning,En ytterligare funktion till företagets mjukvara GPS Timber som anvisar virkesfordon till tomma fack om det ursprungliga facket är fullt och inte kan tömmas.,,2012,20,2,999,1,"""Hur som helst så är produktionschefen
Olov Martinson helnöjd
och säger att den nya funktionen
sparat in en timmertruck,
med allt vad det innebär, och samtidigt
ökat kapaciteten på sorteringen
avsevärt."" 12375-00-00"
11346001,,"En säkerhetsspärr, som monteras direkt på axeln av en virkestilt, som förhindrar att virkespaket rasar om kedjan går av.",,2013,20,,,,
11347001,Bark On-line,"ett system för att mäta hur mycket bark som är kvar på timret efter barkningen. (NTT, 2013, nr. 17-18, p. 16)",,2013,20,2,204;103,1,"""Bark är
den vanligaste föroreningen, och det
nya systemet från SP är ämnat att lösa
det mesta av detta problem genom
att barkresterna på timret mäts efter
barkningen. För mycket bark ger
prisavdrag, eller straffavgift på flisen.
Att barka för hårt innebär att värdefull
timmerved svarvas bort av barkningsknivarna."" 12390-00-00"
11351001,BK80,"En ny hydraulikbefriad bandsåg som flyttar sågenheterna och ett fast anhåll, vis-à-vis normen, med bättre precision. Detta gör klyvningen ""mer ekonomisk och flexibel"" (NTT, 2012, nr. 22, p. 12) och att mer av råvirket kan utnyttjas samt att den kräver mindre underhåll.",,2012,20,2,602;105;103;104,1,"""I kombination
med en exakt mätning ger detta
helt nya möjligheter till en mer
effektiv och ekonomisk produktion
som i en del fall även påverkar sågningen
av råvaran."", ""Detta förenklar den följande
hyvlingen, men innebär också att
utnyttjandet av råvirket blir högre
vilket ger billigare inköp eller bättre
utbyte i sågverket, hur man nu ser
det. Ett annat scenario är om virket
in är för tunt för att få tre bitar ut
med angivet minimimått, då ställer
sågen sig för att i alla fall ge två
bitar med exakt tjocklek medan den
tredje blir vrak. När virket in har lite
mer övermått fördelas detta övermått
på alla tre bitar så att alla ska
vara hyvlingsbara i nästa steg. I en
konventionell såg skulle det bli två
hyvlingsbara och en för grov om
övermåttet är för stort."", 12410-00-00"
11352001,Boardscanner,"Brädscanner som mäter dimensioner, styrka, kvistar, röta, mm. Systemet är relativt litet och går snabbt. Det är modulbaserat och kan byggas på efter hand om inte alla delar används.",,2013,20,2,602;601;501,1,"""Det första är integrerat
i körprogrammen där man kan välja
”Utvärderingsprodukter”. Dessa beräknas
simultant med det riktiga resultatet
under optimering och det går
sedan att jämföra hur bra utvärderingsprodukterna
har presterat jämfört
med de verkliga produkterna.
Det andra sättet är att spela in bräddata
under produktion och sedan välja
att ”köra” inspelade data med olika
körprogram. Dessa jämförs sedan med
det faktiska resultatet och det syns tydligt
hur mycket volym och/eller pengar
de olika körprogrammen skulle ge."" 12411-00-00"
11367001,Vision tilt,En on-line kamerabaserad teknik som håller koll på hur sågbandet ligger på såghjulet och korrigerar automatiskt. Genom att göra bladläget operatörsoberoende uppges driften bli jämnare i längden.,,2014,20,2,602;601;103;,1,"""En stor
fördel är att Vision tilt gör bladläget
operatörsoberoende, vilket gör att
driften blir jämnare över tid. En fördel
är också att den här tekniken kan
byggas in även i äldre bandsågar."" 12434-00-00"
11368001,Moistpal,"En ny fuktkvotsmätare med ett tredje mätstift för temperatur, lägre ljudnivå samt skickar mätdatan trådlöst till en app.",,2015,20,2;3,213;501;601,1,"""Ska trä beträktas som en premiumval av möbel- och bygindustri måste kvalitetssäkeringen bli bättre. Inte minst när alltmer av träprodukter ska vara kundspecifika."" 113160-00-00"
11369001,Timbertime,"En mjukvara som lättare möjliggör informationsspridning till och från timber lastbils chaufförer, så att leveranstidpunkter kan förberedas för och proppar minimeras, samt bilarna kan prioritera andra uppdrag.",,2014,02,,,,
11382001,MultiScat,Analysmjukvara för ämnen som bl.a gör det möjligt att öka flödet med 50% tack vare vissa beräkningar.,,2009,20,9,602;601;,1,"only scans material, not involved in refinery process directly"
11386001,Valmatics,"Ett system för adaptiv styrning av virkestorkar ""som kan spara energi och ge bättre virkeskvalitet"" (NTT, 2013, nr. 9-10, p. 16). Systemet justerar fläktarnas hastighet samt fuktigheten i realtid baserat på historisk mätdata.",,2011,20,2,601;203,1," ""som kan spara energi och ge bättre virkeskvalitet"" (NTT, 2013, nr. 9-10, p. 16)"
11394001,,"Ett säte för fordon som går up och ner med  stora dunsar, som till exempel snabba båtar. Sätets ""fjädringen består av en stötdapare och dubbla bladfjädrar "" med s-form.",,2008,35120,,,,
11399001,WoodRoll,"En trestegsprocess ""för torkning, pyrolys och förgasning av biomassa"" med ""väldigt högt energiutbyte"". Den resulterande gasen är väldigt ren och och ger en väldigt hög verkningsgrad.",,2010,21,1;0;2,202;206;110;,1,unsure if bv 1; good example of bv 2
11449001,,Metod och utrustning för massflödesmätning i industriella processer baserad på två sensorer som detekterar partikelordning och elektrostatisk laddning. Metoden gör att man bättre kan optimera olika typer av flödesprocesser vilket leder till effektivisering av t.ex. förbränningsprocsser och därmed kan koldioxidutsläpp etc. reduceras.,,2010,21,2,601;602;103;211,1,"""Om man känner till massaflöden inom sin industriella process kan man bättre optimera anläggningen"" 12552-00-00"
11468001,,Träningsredskap för negativ träning d.v.s. som ger större belastning då musklerna sträcker ut sig än när de drar ihop sig för effektivare träning. Detta åstadkoms genom att viktmagasinet tippas 45 grader när man byter riktning.,,2013,-101,9,501,1,not forest
11475001,,Reluktansmotor (elmotor) vars rotor har enkel konstruktion utan lindningar vilket eliminerar rotorförlusterna och ger en lägre driftstemperatur än en konventionell induktionsmotor vilket kan reducera energiförlusterna med ca 40 procent.,,2011,20,9,213;601;,1,"""Det fina
med den här motorserien är att den
har avsevärt högre verkningsgrad än
tidigare och kan reducera energiförlusterna
med upp till 40 procent"", ""Vi tror att den främst kommer att
användas för att driva pumpar, fläktar
och kompressorer där man har
kontinuerlig drift, till exempel
i gruv-, metall-, pappers- och massaindustrin.
Där finns oftast de mest
energikrävande drifterna."" 14754-00-00; good example bv3"
11527001,,"Specialcellulosa där ""tillverkningsprocessen är klorfri, vilket ger så pass ren cellulosa att den även användas i exempelvis läkemedelstabletter och korvskinn"" (Kemivärlden Biotech med Kemisk Tidskrift, 2012, nr. 1-2, p. 18)",,2012,15130,1;2,101;201;105,1,"""Råvaran består av gran och tall som huvudsakligen
förädlas till specialcellulosa, lignin
och bioetanol.
I en biologisk reningsanläggning bryter bakterier
ned det återstående organiska materialet
till bland annat biogas. Den tas tillvara och används
som energikälla vid torkning av lignin
och generering av el och ånga, vilket bidrar till
att göra bioraffinaderiet näst intill oberoende
av fossila energikällor."" 12651-00-00

Long innovation biography"
11543001,,"Kamera som ""mäter rörelser ner till en felmarginal på 0,1 mm och kan leverera upp till tusen bilder per sekund."" Kameratekniken möjliggör detaljerade mätningar av 3D-objekt.",,2008,36500,9,602;,1,not forest
11546001,,"Process för återvinning av cellulosa ur textilier, som fungerar genom att ""högkristallin cellulosa omvandlas till oordnad cellulosa.""  (Kemivärlden Biotech med Kemisk Tidskrift, 2012, nr. 11, p. 34)  Produkten består av textilfibrer.",,2014,174,2;3,206;107,1,"""Men kemikarlierna är billiga och återvinningsbara."" 12673-00-00, 
""●I dag saknas tekniker för att
återvinna textilier. Det är ett
problem eftersom tillverkningen
slukar stora mängder vatten,
energi, kemikalier och åkermark."" 14626-00-00"
11559001,,"Hot leaching process for gold with cyanide. ""What is new is the that the flotation concentrate with cyanide is heated up to 608offlC, which increases the rate of leaching "" (Kemivärlden Biotech med Kemisk Tidskrift, 2012, nr. 3, p. 25-26)",,2012,36220,9,103;204,1,not forest
11568001,,"Ett ""nytt plastmaterial (epoxy med inbyggd limfunktion)"" (Kemivärlden Biotech med Kemisk Tidskrift, 2013, nr. 4, p. 8)",,2011,36,9,999,1,not forest
11581001,High Temperature Graphene Process,"En teknik som tillåter tillverkning av grafen på kiselkarbid, som växer över större skalor och är av högre kvalitet.",,2013,21,9,999,1,not forest
11595001,El-Forest,"Elhybridskotare som sparar 30 till 40 procent av diesel. ""El-Forest är marknadens enda skotare som lastar mer än den själv väger""",,2009,0201,2;3,213;113;203,1,"reduces pressure on forest soil; ""Där fanns 240 hektar prima skog, som jag ville hålla i så fint skick som möjligt"" 14839-00-00"
11617001,,Hockeyklubba i kompositmaterial tillverkad av Oxeons vävda kolfibrer vilket gör klubban betydligt lättare och mer välbalanserad än konventionella klubbor.,,2008,-101,9,999,1,not forest
11632001,CVA,Metod för värdering av finansiella variabler.,,1999,20,9,999,1,controlling method for market classifcation
11634001,,"Papper med grå backgrund och vita linjer i stället av svarta. Vita linjer ""är vilsamt för ögat. De vita linjerna konkurrerar inte med det skrivnas färg, och den gråa bakgrunden skapar inga reflexer.""  (Ny Teknik, 2008, nr. 40, p. 23)",,2008,-101,2,999,1,improvement of paper for writing by hand
11646001,Compact Cooking,En kontinuerlig kokmetod för sulfatkokning.,,1999,21,2;3,212;211;602;103,1,"""Hans insats ha lett till minskade kapitalkostnader, högre kontrollbarhet och minskad miljöpåverkan runt hela världen"", "
11655001,Railgrip,Fästsystem med en unik vridlåsningsmekanism som gör den enkel och snabb att flytta på vid behov.,,2009,36,9,999,1,not forest
11676001,,Ftalat- och metallfri PVC-kompound med högandel förnyelsebara råvaror (modifierad vegetabilisk olja) som prismässigt är på samma nivå som kompound med ftalater.,,2009,20,1;2,114;101,1,"""Genom att använda modifierrad vegetabilisk olha skapas ett högvärdigt och låmigrerande PC-kompound till ett konkurrenskraftigt pris"" 12850-00-00; not forest"
11699001,Kee-Bio,Spritspåse av flerskiktsfilm som utgörs av miljövänlig bioplast vilket är världens första som är såväl komposterbar och bionedbrytbar. ,,2009,15,1,114,1,not forest
11722001,,"Metod som renar lakvatten från nedlagda gruvor, genom ""specialbyggd container"" fylld med filtermassa ""vars ingredienser är sågspån och kalk."" (Bergsmannen, 2013 , nr. 1, p. 12)",,2013,13,1;2,212;206,1,"""… en filtermassa vars ingredienser är sågspån och kalk. … vattnet renars effektivt från tungmetaller"" 12921-00-00"
11730001,"Domex 900/960, 1100","Ett stål med högre hållfasthet, god formbarhet och bättre svets- och skär egenskaper. Möjliggör lättare konstruktioner utan förlust av styrka eller livslängd.",,2013,36,9,999,1,not forest
