sinno_id,notes
7393001,"2;3: ""vi vill att man se nya skotare … som ett positivit steg i utveckling av skogsvården…"", ""Markbrott, rot-, och humusskador har varit huvudproblem som konstruktionen vill lösa"""
7394001,"""Det betyder i klartext att fröna får egna drivhus"""
9111001,unmanned helicopter without any clear relevance to bioeconomy visions
13783001,"good example bv 9; ""Det är viktigt i en bransch där många faktiskt är slut
i axlar och rygg vid femtioårsåldern,
säger Christofer Lindberg."" 55270-00-00 - 5527-01-00"
5880001,not forest
5894001,not forest
5897001,not forest
5910001,not forest
5920001,not forest
5928001,not forest
5932001,not forest
5941001,not forest
5972001,not forest
6141001,not forest
6156001,not forest
6160001,not forest
6188001,not forest
6249001,not forest
6290001,not forest
6297001,not forest
6302001,not forest
6329001,not forest
6349001,not forest
6360001,not forest
6392001,not forest
6400001,not forest
6432001,not forest
6550001,not forest
6583001,not forest
6714001,not forest
6801001,not forest
6851001,not forest
6861001,not forest
6878001,not forest
6880001,not forest
6891001,not forest
6893001,detailed history of development process
6894001,not forest
6898001,"not forest, very interesting in urgency of resource limitation"
6912001,driven by energy cost
6921001,good example of bv2
6940001,not forest
6974001,not forest
6977001,not forest
6990001,bv2 but from non forest resource
7024001,not forest
7031001,check if forest
7038001,method related to aox emission
7097001,not forest
7134001,not forest
7277001,not forest
7324001,not forest
7358001,not forest
7364001,"own forest and own felling company, great example of bv3"
7387001,mentions trade off between paper cellulose and sawing potential
7388001,does this significantly contribute to upgrading of raw material to satisfy bv2 condition
7460001,not forest
7489001,does not mention an innovation?
7495001,good example of both bv2 and bv3 because of high integration of production system and conversion and upgrading of resource
7516001,good bv2 example
7525001,"image id 6539 for reason why both bv 2 and 3: uses specific regional wood ""norrländsk senvuxen kärnfura"""
7533001,source does not seem to mention innovation in description
7539001,not forest
7540001,"mentions  dynagrade -- another swinno innovation --  id 7529001, very extensive coverage"
7545001,"3 because it explicitly aims to remove fungicides, embedding the process more in nature"
7553001,"mentions woodeye, sinno id 754001"
7561001,uses only tree based materials
7575001,bv3 because need for specific raw material sawing process -- integrated processing
7586001,not forest
7591001,not forest
7613001,not forest
7638001,not forest social innovation for blind people
7651001,not forest
7708001,not forest
7718001,not forest
7735001,not forest
7741001,not forest
7751001,not forest
7752001,not forest
7781001,"not forest, social innovation for developing countries"
7846001,not forest
7878001,"not forest, social innovation for people witout arms"
7888001,"not forest, replaces forest resource as input material"
7890001,"not forest, replaces forest resource as input material"
7908001,not forest
7926001,not forest
7947001,not forest
7957001,not forest
7962001,not forest
7972001,not forest
8065001,"not forest, wonderful example of bv3"
8135001,"not forest, replaces forest resource as input material"
8140001,social innovation for blind people
8141001,not forest
8144001,bv3 because it aims to protect elks / humans
8146001,not forest
8179001,not forest
8232001,"not forest, replaces forest resource as input material"
8263001,not forest
8265001,not forest
8272001,not forest
8311001,not forest
8359001,not forest
8385001,not forest
8394001,not forest
8404001,not forest
8405001,not forest
8423001,not forest
8447001,solves issue which resulted from transition to new bleaching process with klordioxid instead of klor
8459001,not forest
8475001,social innovation for blind people
8476001,not forest
8506001,not forest
8524001,not forest
8538001,"discusses induction of upstream innovation,  company had plans to develop a new glue, but German customer who faced regulatory pressures led to increased urgency and development speed"
8569001,not forest
8571001,not forest
8577001,not forest
8580001,not forest
8592001,not forest
8615001,innovation reason are strong env. Policies in california
8687001,not forest
8697001,not forest
8706001,not forest
8754001,not forest
8785001,not forest
8791001,not forest
8808001,interesting many year long innovation biography
8819001,not forest
8823001,not forest
8824001,not forest
8832001,not forest
8846001,not forest
8897001,not forest
8914001,not forest; social innovation for children with ADHD
8963001,not forest
8984001,not forest
8989001,not forest
9034001,not forest
9046001,not forest
9055001,not forest
9126001,not forest
9200001,not forest
9237001,not forest
9296001,not forest
9312001,not forest
9315001,not forest; replaces forest based material with non forest resource
9363001,not forest
9377001,not forest; but image id 13267-00-00 mentions wood based diaper
9429001,bv2 due to process upgrading; bv3 due to regional identiy of product
9480001,cites both policy and consumer behavior as drivers of innovation
9495001,"very close to research, but not in a biotechnology way"
9503001,"while it does not use a cleaner input, this machine makes recylce paper stronger and more similar to virgin fiber "
9505001,good bv1 example 
9523001,response to policy in 1999
9532001,"discusses the fact that many paper mass factories only established damns to keep waste water from entering environment, instead of pushing for more energy efficient methods"
9574001,not forest
9598001,not forest
9600001,not forest
9732001,not forest
9765001,not forest
9798001,not forest
9817001,replaces heavier milk crates
9883001,not forest; because only used on bioresource not using it and not used in forest sector
9897001,not forest
9898001,"not sure if forest, product inteded for paper transport, should this coun"
9928001,not forest
9938001,"not forest, response to EU norms for avgaser"
9977001,not forest
10019001,not forest
10030001,not forest
10042001,is this forest?
10052001,not forest
10123001,not forest
10124001,not forest
10128001,not forest
10137001,not forest
10187001,not forest
10189001,bv3 because it aims to protect soil / low level vegation
10214001,not forest
10223001,not forest
10224001,not forest
10232001,not forest
10280001,not forest
10294001,not forest
10374001,not forest
10390001,not forest; adapation to floods
10391001,not forest
10396001,not forest
10397001,not forest
10408001,not forest
10420001,not forest
10453001,not forest
10466001,not forest
10513001,not forest; maybe 206 as well
10524001,not forest; maybe 206 as well
10526001,not forest; maybe 206 as well
10598001,not forest
10613001,not forest
10629001,not forest
10642001,not forest
10643001,not forest; social innovation for refugees
10660001,not forest
10667001,not forest
10669001,not forest
10680001,not forest
10681001,not forest
10682001,not forest
10701001,not forest
10703001,not forest
6425001,Unsure if longer life cycle
6837001,Toughness == longer life cycle?
6842001,Bioeconomy vision depends on usesector
6068001,not forest
6100001,not forest
6369001,not forest
6700001,not forest
6763001,not forest
6819001,not forest
6826001,not forest
6841001,not forest
6922001, not forest
7004001,Could this even count as an eco-innovation?
7022001,not forest
7043001,check artcile
7223001,"not forest, not bioeconomy, perhaps not even eco inno"
7250001,not forest
7263001,not forest
7278001,not forest
7622001,not forest
7632001,not forest
7661001,not forest
7672001,not forest
7697001,not forest
7725001,not forest
7871001,"check artilce, could relate to forest"
7959001,not forest
7980001,not forest
7982001,not forest
8070001,not forest
8111001,not forest
8112001,not forest
8128001,not forest
8172001,not forest
8188001,not forest
8196001,not forest
8203001,not forest
8211001,not forest
8212001,not forest
8225001,not forest
8241001,not forest
8268001,"not forest, not sure if not bioeconomy"
8343001,not forest
8438001,not forest
8461001,not forest
8573001,not forest
9039001,not forest
9254001,not forest
9305001,not forest
9387001,not forest
9396001,not forest
9552001,not forest
9553001,not forest
9561001,not forest
9563001,not forest
9564001,not forest
9566001,not forest
9570001,not forest
9579001,not forest
9585001,not forest
9587001,not forest
9593001,not forest
9595001,not forest
9610001,not forest
9614001,not forest
9734001,not forest
9948001,not forest
10086001,not forest
10360001,not forest
10550001,not forest
10695001,not forest
10698001,not forest
5874001,article does not mention innovation
5886001,image too small 
6038001,image 404
6194001,404
7464001,404 image not found
7549001,404 no image found
7853001,404 no image found
7991001,"""Massaindustrien har länge försökt lösa problemet på ett enklare sätt"", biorefinery; 110: replaces oil of 10m3 / 24h"
8425001,error 400 image not found
9529001,corrupted file
9529001,demaged file
9576001,image missing
10828001,2 and 3 as recycling of waste energy
10855001,"""För ett hyvleri med normalt sortiment betyder det att hyveln kan bestyckas så att den kan köras med vanliga profiler under flera dager utan ompostning, något som ger en kräftigt ökad kapacitet."""
10857001,Miljövänliga och energisnälla produktionsprocess för pelletsmaterial
10867001,"""… kuttern är skonsam mot hårda kvistar…"""
10872001,"good example bv 3: ""Monteringsmetoden utan synliga hattpluggar gör att arkitekterna kann rita mer estetiskt tilltalande trappor.."""
10874001,"2 because of process optimization, 3 because of ethic considerations behind company strategy ""Att bidra till minska limförbrukningen kan tyckas vara som att såga av den gren man sitter på. Men det ligger helt i linje med Akzo Nobels miljösatsning och ambitionen att stärka kundernas konkurrenskraft."""
10878001,"""Vi vill göra byggnadet så effektivt och resurssnålt som mjöligt."""
10881001,"""Den utvecklade
konstruktionen ger bättre ytor
med bibehållen klingtjocklek.
Combi Cut med fyra stål ger bästa
fliskvalitet i matningshastigheter
upp till 100 meter per minut.
I femstålsutförande klarar skivan
matningshastigheter upp till
150 meter per minut."" 11995-08-00"
10882001,"""Kisel är inte giftig utan verkansprincip är mekanisk"", ""Överblivit medel kann hällas i komposten"", ""Underhållet är enkelt och träet håller sig fräscht utan regelbunden oljning"""
10897001,"""Träindustriens intresse för att paletera sina biprodukter har ökat lavinartat de senaste åren"""
10909001,"""Mätaren skapar nya mjöligheter till kostnadsoptimering för trävaruindistrin"" 11894-01-00, ""Mätaren skapar nya mjöligheter till kostnadsoptimering för trävaruindistrin"", ""Vi hoppas mycket på Boardprofiler
L i framtiden. Dels inom
sågverksindustrin, dels och nästan
mer för förädlingsindustrin."" 12012-00-00, "
10922001,"""ETP Cubit-Mini sparar
tid och pengar genom att det
inte behövs några svårhanterliga
shims."" 11995-02-00,"
10924001,"""Det blev mindre spänningar i virke och det gick att göra ganska stora besparingar på elförbrukningen …"" 11910-00-00,"
10925001,"""Traditionellt rengörs sodapannor under drift med en teknologi som är mycket energikrävande. Den nya tekniken innebär att energiförbrukningen i form av ånga halveras. Soot Techs HISS-teknik gör att sotblåsarna kan löras oftare, vilekt i sin tur ölar sotningseffekten."" 14395-00-00"
10937001,"""En panel som kan ha blivit randig
av dåliga sågblad och behöver
snyggas till, eller kanske fi nns det
behov av att återställa hyvlat virke
till sågat för en klara en snabb
leverans."" 12628-00-00"
10950001,not forest
10961001,"""De vill inte prata om reda pengar
då kostnaden kommer upp men
säger att det rör sig om en återbetalningstid
på några månader i
minskad energiförbrukning och
då är fördelar som minskat slitage,
ökad kapacitet och höjd kvalitet
inte medräknat."" 11947-01-00"
10974001,"""Vi blandar ned en polymer, som vi
får från stärkelsen i majs, i pappersmassan.
[…] Då får vi ett material som
ser ut och som kan användas som
plast."" 12936-00-00"
10979001,"""Skillnaden på Logcons bord och
de som normalt används är att timret
skjuts fram med stegmatare
istället för med kedjor. Enligt Lars
ger detta en mängd fördelar.
Även om stockarna inte blir perfekt
placerade gör stegmatningen
att de parallelläggs ganska snart."" 11975-00-00"
11008001,"""...att CAR förstärker
bandsågens fördelar när
det gäller utbyte och noggrannhet."" 15304-01-00, ""… med med CAR klarar bandsågen
även att följa dubbelkrok"" 15304-00-00"
11012001,"""Genom att hela tiden veta fukthalten
på flisen kan man optimera
andra parametrar i processen utifrån
det, vilket i sin tur ger bättre
råvaruutnyttjande, mindre energiåtgång
och lägre förbrukning av
andra tillsatskemikalier, förklarar
Erik Odén."" 12014-00-00"
11014001,"""Gasen som bildas då biobränslet
värms upp bränns här under
speciella förhållanden."", ""Poängen med denna omväg
till flamman är att gasen ger bättre
förbränning och därmed mindre
utsläpp."" 12017-00-00, "
11016001,"""Finessen med den nya limtekniken
är att limmet fördelas jämnare,
och därmed också mer ekonomiskt,
på fibern än vad man tidigare
har kunnat åstadkomma."" 12018-00-00"
11026001,"""Träullit är ett mycket enkelt mate rial
och består bara av träull och cement.
En träullitskiva består till 80 viktprocent
av trä."" 12027-00-00"
11028001,"""Det borde väl gå att leverera hus på samma sätt som bokhyllan Billy? I platta paket, med numererade delar och en monteringsanvisning?"" 12031-00-00: use and   availability of bio-resources"
11037001,"""...de viktigaste
skillnaderna gentemot konkurrenterna
är att additivet inte innehåller tungmetaller..."", ""Själva nedbrytningsprocessen
är mycket enkel, det handlar
om en oxidationsprocess när plasten utsätts
för omgivande syre och där UV-strålning och
gynnsamma temperaturförhållanden hjälper
till. Plasten bryts ner till så små partiklar att
mikroorganismerna i jorden kan ta över och
fortsätta nedbrytningen till naturlig biomassa.
Så totalt övergår polyolefinen till vatten, koldioxid
och ren mull."" 12165-00-00"
11082001,"""Med PowerBox kan delar av den värme som tidigare kyldes bort omvandlas till ny elproduktion"" 12543-00-00; good example bv9"
11098001,not forest
11106001,"""Metoden baseras på en kombination
av hög temperatur, tryck
och vakuum som avstannar nedbrytningsaktiviteten
i proverna.
Företaget får nu in tolv miljoner"" 12104-00-00; not forest"
11107001,"""Med hjälp av exakta och kontinuerliga mätvärden
av torrhalten kan förbränningen av
svartluten i sodapannan optimeras.
– Genom att optimera förbränningen i samtliga
sodapannor i Sverige har vi räknat ut att
det går att öka energiproduktionen från svartluten
med upp till två terawattimmar (TWh)..."" 12106-01-00"
11142001,"""Tectubes i Åstorp lanserar nu världens första kommersiella helt biobaserade
tubförpackning på bred front. Biomaterialet kommer från FKuRs Terralene-serie
som är baserat på sockerrörsblast."" 13846-00-00; not forest"
11307001,not forest
11335001,"""Uppställningen består av reducerare,
profilerare och en stocksåg där vi
fräser bräderna direkt ur stocken innan
de sågas loss i stocksågen. Blocket
går i retur och genom maskingruppen
igen så det behövs ingen separat kantning,
förklarar Stefan Arnqvist."" 12367-00-00"
11339001,"""Grundidén i Wood of Sweden är
övertygelse att det finns outforskade
möjligheter med trä. Genom att
utveckla designprodukter med hög
kvalitet och funktionalitet hoppas
företaget kunna ta svenska naturmaterial
till en ny nivå. Formgivning
och produktion sker i samarbete
med lokala företag i Skellefteå."" 12371-00-00"
11340001,"""Produktionen har
startats upp i Jämtland med närhet
till den egna skogsfastig heten. Där
finns gott om både den senvuxna
gran, som är det träslag företaget
började arbeta med, och även viktig
träbearbetnings kunskap bland
småsågar och hyvlerier.
– För denna skenbart enkla produkt
krävs mycket kunskap och
omsorg i varje förädlingled: Val av
råvara, sågning och torkning av
kärnvirke har varit speciellt utmanande
moment att lösa."" ""Det är något som numera
ofta går förlorat när industrin satsar
på volym och kvantitet. Vi tror
att många har ett behov av den här
typen av omsorg och äkthet i sin
närmiljö och att det finns en framtida
marknad för hantverksmässigt
producerade byggprodukter,
säger Oscar Carlsson."" 12372-00-00; good example bv3"
11341001,"""Hur som helst så är produktionschefen
Olov Martinson helnöjd
och säger att den nya funktionen
sparat in en timmertruck,
med allt vad det innebär, och samtidigt
ökat kapaciteten på sorteringen
avsevärt."" 12375-00-00"
11347001,"""Bark är
den vanligaste föroreningen, och det
nya systemet från SP är ämnat att lösa
det mesta av detta problem genom
att barkresterna på timret mäts efter
barkningen. För mycket bark ger
prisavdrag, eller straffavgift på flisen.
Att barka för hårt innebär att värdefull
timmerved svarvas bort av barkningsknivarna."" 12390-00-00"
11351001,"""I kombination
med en exakt mätning ger detta
helt nya möjligheter till en mer
effektiv och ekonomisk produktion
som i en del fall även påverkar sågningen
av råvaran."", ""Detta förenklar den följande
hyvlingen, men innebär också att
utnyttjandet av råvirket blir högre
vilket ger billigare inköp eller bättre
utbyte i sågverket, hur man nu ser
det. Ett annat scenario är om virket
in är för tunt för att få tre bitar ut
med angivet minimimått, då ställer
sågen sig för att i alla fall ge två
bitar med exakt tjocklek medan den
tredje blir vrak. När virket in har lite
mer övermått fördelas detta övermått
på alla tre bitar så att alla ska
vara hyvlingsbara i nästa steg. I en
konventionell såg skulle det bli två
hyvlingsbara och en för grov om
övermåttet är för stort."", 12410-00-00"
11352001,"""Det första är integrerat
i körprogrammen där man kan välja
”Utvärderingsprodukter”. Dessa beräknas
simultant med det riktiga resultatet
under optimering och det går
sedan att jämföra hur bra utvärderingsprodukterna
har presterat jämfört
med de verkliga produkterna.
Det andra sättet är att spela in bräddata
under produktion och sedan välja
att ”köra” inspelade data med olika
körprogram. Dessa jämförs sedan med
det faktiska resultatet och det syns tydligt
hur mycket volym och/eller pengar
de olika körprogrammen skulle ge."" 12411-00-00"
11367001,"""En stor
fördel är att Vision tilt gör bladläget
operatörsoberoende, vilket gör att
driften blir jämnare över tid. En fördel
är också att den här tekniken kan
byggas in även i äldre bandsågar."" 12434-00-00"
11368001,"""Ska trä beträktas som en premiumval av möbel- och bygindustri måste kvalitetssäkeringen bli bättre. Inte minst när alltmer av träprodukter ska vara kundspecifika."" 113160-00-00"
11382001,"only scans material, not involved in refinery process directly"
11386001," ""som kan spara energi och ge bättre virkeskvalitet"" (NTT, 2013, nr. 9-10, p. 16)"
11449001,"""Om man känner till massaflöden inom sin industriella process kan man bättre optimera anläggningen"" 12552-00-00"
11468001,not forest
11475001,"""Det fina
med den här motorserien är att den
har avsevärt högre verkningsgrad än
tidigare och kan reducera energiförlusterna
med upp till 40 procent"", ""Vi tror att den främst kommer att
användas för att driva pumpar, fläktar
och kompressorer där man har
kontinuerlig drift, till exempel
i gruv-, metall-, pappers- och massaindustrin.
Där finns oftast de mest
energikrävande drifterna."" 14754-00-00; good example bv3"
11527001,"""Råvaran består av gran och tall som huvudsakligen
förädlas till specialcellulosa, lignin
och bioetanol.
I en biologisk reningsanläggning bryter bakterier
ned det återstående organiska materialet
till bland annat biogas. Den tas tillvara och används
som energikälla vid torkning av lignin
och generering av el och ånga, vilket bidrar till
att göra bioraffinaderiet näst intill oberoende
av fossila energikällor."" 12651-00-00

Long innovation biography"
11543001,not forest
11546001,"""Men kemikarlierna är billiga och återvinningsbara."" 12673-00-00, 
""●I dag saknas tekniker för att
återvinna textilier. Det är ett
problem eftersom tillverkningen
slukar stora mängder vatten,
energi, kemikalier och åkermark."" 14626-00-00"
11559001,not forest
11568001,not forest
11581001,not forest
11595001,"reduces pressure on forest soil; ""Där fanns 240 hektar prima skog, som jag ville hålla i så fint skick som möjligt"" 14839-00-00"
11617001,not forest
11632001,controlling method for market classifcation
11634001,improvement of paper for writing by hand
11646001,"""Hans insats ha lett till minskade kapitalkostnader, högre kontrollbarhet och minskad miljöpåverkan runt hela världen"", "
11655001,not forest
11676001,"""Genom att använda modifierrad vegetabilisk olha skapas ett högvärdigt och låmigrerande PC-kompound till ett konkurrenskraftigt pris"" 12850-00-00; not forest"
11699001,not forest
11722001,"""… en filtermassa vars ingredienser är sågspån och kalk. … vattnet renars effektivt från tungmetaller"" 12921-00-00"
11730001,not forest
11745001,"""... valde OFK
Plast att extrudera profilen av återvunnen
polyeten och återvunna träfibrer.
Fördelen med det nya materialvalet var
att det skulle bli lättare att montera och
installera. Dessutom var vikten lägre och
livslängden längre, hävdade tillverkaren."" 12952-00-00"
11748001,"""Råvaruoptimering, biologisk rening och bioenergi i form av en biogastork, uppskattas av kunderna och ger ett bättre ekonomiskt utfall i slutänden."" 12956-00-00"
11749001,"""FibreForm kan ersätta plast i en mängd olika förpackningar och utmanar nu plastförpackningar på allvar, vilket miljön vinner på"" 13105-00-00"
11907001,"""Under de
fyra åren som industridoktorand utvecklade
han en ny teknik för att framställa
cellulosabaserad etanol för biobränsle"", ""Kemikalierna reagerar med nedbrytningsprodukterna
och gör dem mindre
toxiska, vilket gör att jäsningen kan fortsätta
ostört."" 13276-00-00"
11937001,not forest
11952001,"""Målet är att möjliggöra produktion av bättre papper, men med en lägre energiförbrukning"" 13340-01-00"
11997001,"good example of bv1;not forest; ""Det gäller även när
fabriken består av levande celler.
Xbrane har dna-strängarna
som fixar uppgiften."" 13395-00-00"
12016001,"""Metanolen är framställd av syntesgas,
en blandning av kolmonoxid
och vätgas, som i sin tur är resultatet
av förgasning av svartlut, en restprodukt
från tillverkning av pappersmassa."" 13419-00-00"
12020001,"""Han ville
tillverka mer än dubbelt så många
liter biodiesel av tallolja, en restprodukt
vid massatillverkning."" 55260-00-00"
12026001,"""Tunna genomskinliga filmer som kan
ersätta oljebaserad plast i matförpackningar.
Miljövänlig ersättare till
kevlar i olika kompositmaterial. Ett
hälsosammare alternativ till olika
konsistensgivare i exempelvis lättprodukter."" 13434-00-00; ""en ny process,
som sänker energiförbrukningen
med 98 procent."" 13435-00-00"
12048001,"good example bv9; ""När nivåmätaren signalerar
att det är dags för
tömning skapas ett undertryck
i det underjordiska
rörsystem som papperskorgen
är kopplad till. Sedan öppnas en
ventil i papperskorgens botten. Via ventilen
sugs skräpet in i rör, som leder till
en container. Undertrycket och suget skapas
med hjälp av fläktar. Det handlar med
andra ord om en sopsug med en ny typ
av inkast."" 13464-00-00"
12070001,not forest
12079001,not forest
12134001,not forest
12151001,not forest
12221001,"not forest; ""Nu kan vi göra det höghållfasta
stålet så tunt och lätt att vi kan
matcha designlösningar där man
använder aluminium, säger Johan
Broback.""13655-00-00"
12228001,not forest
12235001,"""Det är en ny generation mjukpappersmaskiner
där vi kan tillverka
papper av hög kvalitet i en energisnål
produktion, säger Karl-Johan Tolfsson.
Åtgången av fibrer vid samma papperstjocklek
blir 30 procent lägre än
tidigare, vilket är positivt ur miljöhänsyn."" 13672-00-00"
12254001,"""Tack vare dess föreslag kan massaflödet regleras automatiskt"" 13696-00-00"
12322001,"""När
det torkat blir det ett poröst och lätt
material som påminner om EPS, expanderad
polystyren, eller frigolit
som de flesta säger. … Många vill komma bort
från plastbaserade material, som frigolit."" 13777-00-00; good example bv2; good innovation journey; bought by stora enso in 2018"
12335001,"not forest; ""Materialet är en biologiskt
nedbrytbar plast, gjord av en
blandning av alifatiska/aromatiska
sampolyestrar och polymjölksyra (PLA),
med små tillsatser av vax och kalk."" 14075-00-00"
12363001,"""Företaget erbjuder ett unik teknik för att behandla flis för massaproduktion och att optimer tekniken för att spara energi."" 13817-00-00; ""Bolagets mål är att hjälpa skogsindustrien att effektivisera sina flisbaserade processystem."" 13819-00-00; good example bv2"
12367001,not forest
12393001,not forest
12416001,not forest
12419001,"""… en ljuddämpande produkt av fibermassa"" 13950-00-00"
12424001,"""Skillnaden är att pappret i de nya produkterna har förstärkts med sulfatmassa för att kunna blir förpackningspapper."", ""Vedfibern är ju en del av naturens kretslopp som vi lånar och sedan lämnar tillbaka igen"" 13959-00-00"
12425001,"""Tidigare var Skogshall tvungen att kassera mellan 700-1500 ton färdig kartong i månaden på grund av skjuvningsdefekter och felsökning kunde ta upp till 45 minuter"" 13960-00-00"
12454001,good example bv9
12463001,not forest
12466001,not forest
12476001,"""Det vattenbaserade systemet är
utvecklat för beläggning av pappersmaterial
och är ett miljövänligt alternativ
till de oljebaserade plastfilmer
som i stor utsträckning används
i förpackningar idag."" 14075-00-00"
12565001,not forest
12639001,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12691001,"""För oss tar det cirka en sekund att upptäcka en kvalitätsförändring, sen tar det förstås en stund att åtgärda processen"" 14471-00-00 "
12769001,"""Då blir det viktigaste för oss att vår utrustning stödjer kvalitätstänket och grantera samma resultat varje gång"" 14657-00-00"
12776001,"""Det blir inte bara mer energieffektivt, utan en maskin som kan styras och regleras optimalt ger en jämmnare kvalitet av slutprodukten"" 14670-00-00"
12777001,"""Mätresultaten gör det möjligt att kontrollera och optimera mäldkemin, vilket ökar körbarheten och förbättrar papperskvaliteten"" 14676-00-00"
12784001,not forest
12801001,not forest
12813001,good example bv9
12927001,"""SCA har utvecklat en wellpappskvaliteten som, förutom vara återvinningsbar till 100 percent, lämpar sig för såväl inomhus- som utomhustillämpningar"" 15000-00-00"
12933001,"""Det unika är att papperet är bestruket och lätt kalandrerat"" 15034-00-00"
12966001,"""… och analysera mätningar på ett effektivt sätt"", ""Kraftliner är ett baspapper tillverkat av nyfiber som används för tillverkning av högklassig wellpapp"" 14034-00-00"
13032001,"""Inget finns färdigt på lager, utan allt
tillverkas på beställning och i samarbete
med kunden."" ""LIMTRÄBALKEN ÄR I massiv gran med
maximalt fem millimeter mellan årsringarna
och är limmad med ett tvåkomponents
melaminhartslim."" 15468-00-00"
13041001,not forest
13069001,"""Tänkbara
applikationer är anläggningsmaskiner,
kompressorer, flygplan
och andra ”skakiga” miljöer där
tekniken kan göra sensorer, mätinstrument
och annan iot-utrustning
självförsörjande på ström. På
detta sätt slipper man kablar och
batterier, vilket ska eliminera så -
väl höga initialkostnader som
underhåll och byten av dyra batterier""16311-00-00; "
13089001,good example bv9
13091001,good example bv9
13121001,"""Det unika med produkten
är att den ersätter dyrare massakvaliteter
samtidigt som den har bättre
absorptionsegenskaper och bulk än
de kvaliteter den ersätter."", ""Vi använder enbart färsk gran för
våra slipmassor och vi hämtar veden
inom en radie av 10 mil. Färskheten
ger förutsättningar för bättre
produktegenskaper såsom ovanligt
hög ljushet, faktiskt 60 procent eller mer redan på oblekt massa. Veden är
också mer lättbarkad och ger en lägre
kemikalie- och energiförbrukning."", 15617-00-00; good example bv3 for paper industry"
13122001,"""Det unika med produkten
är att den ersätter dyrare massakvaliteter
samtidigt som den har bättre
absorptionsegenskaper och bulk än
de kvaliteter den ersätter."", ""Vi använder enbart färsk gran för
våra slipmassor och vi hämtar veden
inom en radie av 10 mil. Färskheten
ger förutsättningar för bättre
produktegenskaper såsom ovanligt
hög ljushet, faktiskt 60 procent eller mer redan på oblekt massa. Veden är
också mer lättbarkad och ger en lägre
kemikalie- och energiförbrukning."", 15617-00-00; good example bv3 for paper industry"
13223001,not forest
13303001,113188-00-00
