Collection,SINNO.ID,Name.Swe,Name.Eng,Descri.Swe,Industry,Product.code,Use.sectors,Use.sector.2,Use.sector.3,Use.sector.4,X,Notes,Innovation.type,Artifactual.complexity,Developmental.complexity,COM_Year,Commissioner,Firm.Novelty,Market.Novelty,Patent.Status,Literal.name.of.innovating.firm...SINNO.s.common.name...SINNO.ID,Location,Firm.only.produces.the.innovation,Corporate.group,Firm.founded.for.development.or.commercialization,Previously.developing.firms,Previously.developing.firm.2,Previously.developing.firm.3,Previously.developing.firm.4,Presentation.Year,Development.Year,Year.of.first.prototype,Use.sector.5,Use.sector.6,Use.sector.7,Use.sector.8,Use.sector.9,Origins,Origin.2,Origin.3,Origin.4,Origin.5,Additional.information.if.Origin...1a.New.scientific.discovery,Additional.information.if.Origin...1b.New.technologies.or.materials,Additional.info.if.Origin...2a.Official.regulation..legislation.and.standards.,Additional.information.if.Origin...5b.Solution.for.a.problem,Additional.information.if.Origin...7.Performance,Additional.information.if.Origin...20.Other,Science.spin.off,Research.insititutes.of.spin.off,Research.insititute.2.of.spin.off,Research.insititute.3.of.spin.off,Universities.of.spin.off,University.2.of.spin.off,University.3.of.spin.off,Developed.in.collaboration.with.other.actors,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID,Type,Country,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.1,Type.1,Country.1,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.2,Type.2,Country.2,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.3,Type.3,Country.3,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.4,Type.4,Country.4,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.5,Type.5,Country.5,Public.technology.program.involved,Public.technolgy.program.s.name,External.financing.received,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID,Type.of.funder,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.1,Type.of.funder.1,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.2,Type.of.funder.2,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.3,Type.of.funder.3,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.4,Type.of.funder.4,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.5,Type.of.funder.5,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.6,Type.of.funder.6,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.7,Type.of.funder.7,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.8,Type.of.funder.8,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.9,Type.of.funder.9,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.10,Type.of.funder.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.1,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.2,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.3,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.4,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.5,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.6,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.7,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.8,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.9,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.11,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.12,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.13,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.14,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.15,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.16,BIO.Name
SWINNO - updated,9753001,,,"Stålbandning för buntning av massaved som förenklar lossning, lastning och transport.",,27320,60240,,,,149,,1,3,2,1971,,NA,1,NA,Cyklop AB ; Cyklop ; 8755002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,7,,,,,,,,effektivitet; säkerhet,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Transport Teknik ;  ; 1972 ; 8 ; 510 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9977001,AJ37 Viggen,,"Attackflygplan. Viggens huvudvinge har 10,6 meters spännvidd, planets totala längd är 16,3 meter, max. höjden är 5,6 meter och startvikten med normal beväpning är ca 16 ton. Maxfarten på hög höjd är Mach2 och på låg höjd Mach 1,1. Planets startsträcka är 400 meter och aktionsradien med anflygning på hög respektive låg höjd över 1000 km respektive 500 km.",,35300,75224,,,,156,,1,1,1,1971,FMV,1,NA,NA,Saab-Scania ; Saab-Scania ; 5472002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,20,,,,,,,,,Utvecklad på uppdrag.,NA,,,,,,NA,1,FMV ; FMV ; 10107002,34,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1971 ; 9 ; 466 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6374001,,,"System för styrning av batchkokare för sulfatmassa, Mot bakgrund av en analysprincip som utarbetats av MoDo har Asea byggt en lutanalysator, som tillsammans med automatikutrustning och dator bildar mätsystemet. ",,30020,24,,,,169,,1,2,2,1972,,1,2,NA,Asea ; Asea ; 9755002,,NA,Asea,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1b,,,,,,,,,,NA,,,,,,NA,1,MoDo ; MoDo ; 10106002,17,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Modern Elektronik ;  ; 1972 ; 2 ; 10-11 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6387001,,,"Bildskärmsterminal som är avsedd för användning i svåra arbetsmiljöer, t ex i stålverk, pappersbruk och lagerlokaler. Terminalen består av en bildskärm som rymmer sex rader med vardera 40 tecken.",,30020,-100,,,,176,,1,2,2,1972,,2,1,NA,IBM Nordiska Laboratorier ; IBM Nordiska Laboratorier ; 5389002,,NA,,NA,,,NA,NA,NA,NA,1972,NA,NA,NA,NA,NA,5a,7,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Modern Elektronik ;  ; 1974 ; 18 ; 48 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6690001,,,Metod för direkt mätning av syrakoncentration i betbad av rostfritt stål. Med en helt ny typ av elektrod kan man för första gången effektivt kontrollera och styra betningprocessen. En följd av upfinningen är reducerade miljöutsläpp av syror och samtidigt en förbättrad produktionsekonomi. Avesta Jernverk har ensamrätten att tillverka den nya elektroden och ta ut patent på tillämpningen. Elektroden har kallats Aveplex. Jernverket har också patentsökt själva förfarandet att mäta syrakoncentrationerna direkt i betbaden. ,,74202,27,,,,181,,3,2,2,1972,,1,2,1,Avesta Jernverk ; Avesta Jernverk  ; 5879002,Avesta,NA,,NA,,,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,1a,1b,5b,20,,,,,Osäkerheter kring dosering vid betbad. Förorenande verksamhet.,,Utvecklad för att tillämpas inom företaget.,1,,,,Umeå universitet,,NA,1,Umeå universitet ; Umeå universitet ; 13441002,11,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Bergsmannen 1 ;  ; 1972 ; 10 ; 222-225 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6873001,,,"Fraktionator . Apparaturen medger att man minskar behovet av vattenförbrukning för pappers- och cellulosaindustrin, och att fibrerna kan återvinnas till produktionen. ",Food,29120,21,,,,183,,1,2,2,1972,,1,NA,NA,AB Fractionator ; Fractionator ; 9951002,,NA,,1,,,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1972 ; 4 ; 19 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7365001,TwX (Timber Wrapping),,"Emballeringmaterial för täckning av trävaror som är både fuktaavisande, slitstarkt och lätthanterligt. Det nya materialet kan även utnyttjas för reklamtext. ",Chemical and Plastics,21219,20,,,,188,,1,3,2,1972,,2,NA,NA,Strömsnäs Bruk ; Strömsnäs Bruk  ; 6367002,,NA,Skogsägarnas Industri AB,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,,,,,,,,,,,NA,,,,,,NA,1,Kindasågen ; Kindasågen ; 13085002,2,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1972 ; 8 ; 579 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7367001,TETNET,,"Omslagspapper för trävaror. Innovationen består av ett oblekt och högtöjbart samt våtstyrkelimmat papper. Nätet är av lågtryckspolyeten med en maska om 12,5 mm och trådarna har en diameter om ca 0,25 mm. Upprinnelsen till innovationen är att en stor del av det sågade virket måste lagras utomhus i färdiga paket, ich här gör paketinslagningen att man når direkta inbesparingar. Man slipper bygga ytterligare lagerbyggnader eller hyra ut dtra presenningar. Likaså blir det minskade kostnader vid transporter och skeppningar. Virket ligger hela tiden skyddat mot snö, regn, fukt och solsken.",Chemical and Plastics,21219,20,,,,190,,1,3,2,1972,,2,NA,NA,Billerud ; Billerud ; 7548002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,7,,,,,,,,Oblekt; högtöjbart; våtstyrkelimmat; styrka,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"1 ; Sågverken ;  ; 1972 ; 3 ; 185,187 ; ","1 ; Sågverken ;  ; 1973 ; 9 ; 619,621 ; ",1 ; Svensk Trävaru och Pappersmassetidning ;  ; 1972 ; 1 ; 49-51 ; ,,,,,,,,,,,,,,,NA
SWINNO - updated,7679001,Float Wash,Float Wash,Maskin för fiberavskiljning som möjliggör nästan fullständig återvinningsgrad av fibrer och fyllnadsmedel i avfallsvatten från pappers- och cellulosaindustrin. Avskiljningen av de fasta partiklarna (fraktioneringe) sker genom att avloppsvvattnet sprutas genom munstycken mot en horisontell silanordning. ,,29569,211,212,,,195,,1,1,1,1972,,2,NA,NA,AB Fractionator ; Fractionator ; 9951002,,NA,,NA,,,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,7,,,,,,,,,Hög återvinningsgrad; minskad färskvattenförbrukning hos pappersmaskiner,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,1,Svenska Utvecklingsaktiebolaget ; Svenska utvecklings ; 8827002,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1972 ; 5 ; 3 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7708001,,,Motionscykel med inbyggd trippmätare som visar kaloriförbrukningen under ett träningspass.,,35420,101,,,,217,,1,2,3,1972,,2,NA,NA,Monark-Crescent AB ; Monark-Crescent ; 6710002,,NA,,NA,"Institutionen för maskinkonstruktion, KTH",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1973 ; 3 ; 6 ; ,,,,,,,,,,,,,,,,,NA
