SINNO ID,sni,Innovation name in Swedish,des,Additional Info
6873001,21,,"Fraktionator . Apparaturen medger att man minskar behovet av vattenförbrukning för pappers- och cellulosaindustrin, och att fibrerna kan återvinnas till produktionen. ",
6893001,21,,"Jonbytarteknik för att behandla färgade avloppsvatten. Många utsläpp från skogsindustri innehåller intensivt mörkfärgade nedbrytningsprodukter av lignin. På dessa mörka föroreningar biter inte biologisk neddbrytning. Allmänt använda metoder, såsom fällning och flockning, kan vara mycekt effektiva ur många synpunkter, men man får endast en mycket liten avfärgning. Dessutom är slambildningen avsevärd. ",Föroreningar från pappersindustrin.
6915001,21,,"Metod och system för oxygenblekning av pappersmassa. Systemet innebär att massan eftersilningen avvattnas i Kamyrs tvättpressar till ca 30 % torrhalt, däreftertillsätts oxiderad vitlut. ",
6918001,21,MoDoCil,"Process för syreblekning av pappersmassa. Processen innebär att massan efter tvättning och screening görs 30 % torrare i pressarna. Med syreblekning halveras avfallet med hälften, inkluderande lignin.",Halverar avfallet
6945001,21,,Apparat för ångformning av pappersmassa i en värmeväxlare innan komprimering.,
6949001,21,,Värmeväxlare som lämpar sig för återvinning av de stora värmemängderna i avloppsvatten från massa- och pappersbruk. ,
6950001,21,Sunds Defibrator Papperstorkning med TMP-ånga,"Värmeåtervinningssystem för en termomekanisk massafabrik, som kan ge all den ånga, som behövs för att torka det papper, som tillveras av massan i ett integrerat bruk. När massafabriken av någon anledning inte är igång, används den abonnerade kraften för att generera ånga i en elektrisk ångpanna. Ett pannhus med oljeeldad panna kan undvikar och driftskostnaderna blir mycket lägre. ",Sparar pengar och utrmme.
6966001,21,KMWs flerskiktslåda,"Flerskiktslåda för framställning av papper. Nyheten med denna är att man löst problemet med störningar mellan vätskeskikten genom att bilda fria konvergerande strålar. Luftkuddarna mellan dessa har visat sig vara problemfria, om ett litet luftflöde matas in i den för att kompensera förlusterna. Det har också visat sig att formationen kan påverkas positivt genom val av olika hasighet i de tre skikten, något som endast är möjligt i KMW:s flerskiktslåda.",Störningar mellan vätskeskiftenInga störningar mellan vätskeskiften
6967001,21,Twinblade,Maskin för dubbelsidig bladbestrykning av papper. ,En rad processtekniska fördelar.
6969001,90,,"Absorberingsmedel för sanering av olja. Medlet är cellulosabaserat. ""Oljesvampen"" består av biologiskt nedbrytbart massaavfall, s k rejekt, som skogsindustrin normalt brukar skicka på tippen. I en nyligen patenterad process sorängs fibrerna till en partikelstorlek av ca 6 mm, behandlas i en högtemperaturprocess och prepareras med en kemisk lösning som gör granulatet vattenavvisande och starkt oljeabsorberande. Beroende på saneringsobjektets kemiska sammansättning och temperatur binder medlet 4 till 7 gånger sin egen vikt. Spnge kan användas till allt från olje- eller kemikaliespill på verkstadsgolvet till storskalig oljesanering till havs. ",
6979001,21,,"Nytt filter för lösningmedel där den aktiva delen av filtrer utgörs av en polymer innesluten mellan två pappersskikt. Den porösa styrenbaserade polymeren har en specifik yta på 800k kvadratmeter per gram., tål höga temperaturer och är olöslig i samtliga lösningsmedel. ",Kunde utvecklas tack vare teknik från Stora Kopparberg
7000001,21,Chemtronics 3000,Mätsystem för kontroll av retention i pappersmaskinens våtparti. ,
7067001,21,,"Genmodifierad potatis för produktion av bindemedel och ytstarkare papper i pappersindustrin, samt för lätthanterligare glasfiberväv och stabilisering vid oljeborrning och till varpliming.",Teknik kallad antisensteknik som används för att överföra den önskade genen till potatisen. Genen sätts samman i en så kallad genkonstruktion och förs in i potatisen medhjälp av en särskild jordbakterie.Potatisen gör det billigare för pappersindustrin att utvinna stärkelsen
7542001,45,Wellboard,Byggskiva. Helt pappersbaserad sandwichkonstruktion med kärna av wellpapp. Pappskikten förseglas med väv och som linfog används ett plastmaterial.,
7565001,45,,"Träfönster som med marginal klarar 45 minuters brandmotstånd och värmestrålning. Det är som första svenska fönster brandklassar EI45 och E45. Fönstret är i grunden ett vanligt standardfönster som brandglasats med en patenterad metod.[par][par] Tidigare var man tvugna att förstärka träfönstren med stål- och plåtprofiler för att uppnå samma brandklass, men det behövs alltså inte nu. Förenklat går metoden ut på att lister av ett speciellt material läggs in mellan glas och karm, samt mellan karm och båge om det är öppningsbart. Listen expanderar vid upphettning ända upp till 25 gånger den ursprunglga volymen. På så sätt fyller det ut och täpper igen de ställen där trämaterialet brunnit bort, och hindrar elden att tränga igenom fönstret.",
7568001,45,,Elektronisk märkning av byggelement för att effektivisera logistiken. Det gör exempelvis att man inte blir beroende av papperslappar om kan ha försvunnit eller skadats under transporten til bygget. All information fås snabbt och enkelt via en elektronisk avläsning.,Ger kostnadsbesparingar för användaren
7576001,351,,"Lättviktsskiva, tillverkad av papper och kartong som gjorts brandsäker med ett obrännbart papper i ytskiktet.",brandsäker; lätt vikt
7617001,21211,Emproboard-maskinen,Utrymmessnål maskin för tillverkning av wellpapp.  Istället för att sammanfoga de olika papperskkikten på konventionellt sätt genom förbehandlad liner och värme klistrar maskinen ihop skikten med en speciell vätska. Kylmomenten blir korta genom att papperet inte behöver förvärmas utan kan hjälpa till med kylningen under frammatningen. Detta medför att maskinen kan byggas mycket kompakt.,Kompakthet; ger fuktsäker wellpapp
7674001,211,Ecal-torken,"Torkapparatur för torkning av livsmedel, lignin, cellullosa och pappersavfall och en rad avfallsämnen från den kemiska industrin och läkemedelstillverkningen. Apparaturen är baserad på en ny torkningsmetod som tar vara på näringsämnen i avfall. Den nya torkmetoden innebär att det matieral som skall torkas fördelas i ett tunt skikt på ytan av eller mellan kulor av plast med väl definierade exgenskaper. Dessa kulor, tvångsstyr sedan materialet med reeglerbas hastighet neråt genom en mötande luftström som torkar det. I den nedre delen av behållaren går en del av luftströmmen neråt och när materialet avlägsnas från kulorna följer det med torklfuten och avksiljs i en pulvercyklon. De rena kulorna återförs mgenom en central cylinder i behållaren för ett nytt kretslopp. Apparaturen har ett högt utnyttjande av den tillförda varmluften och är mycket kompakt och kräver därför ringa utrymme. Med Ecal-metoden behöver temperaturen hos den torkade produkten inte överstig 40-60 grader vilket är skonsamt mot slutprodukten. Huvudprincipen bakom metoden är att med reglerbar motströms-medströmstorkning åstadkomma en stor avdunstningsyta i en kontinuerlig process, där ytans kontakttid med torkgasen kan regleras och ges lång varaktighet.",Ny metod kallad ECAL-metodenSkonsamhet mot slutprodukten (processen); kompakthet (anläggningen); hög termisk verkningsgrad (temperaturen behöver inte överstiga 40-60 grader); helautomatisk drift; ringa personalbehov; 
7674001,24420,Ecal-torken,"Torkapparatur för torkning av livsmedel, lignin, cellullosa och pappersavfall och en rad avfallsämnen från den kemiska industrin och läkemedelstillverkningen. Apparaturen är baserad på en ny torkningsmetod som tar vara på näringsämnen i avfall. Den nya torkmetoden innebär att det matieral som skall torkas fördelas i ett tunt skikt på ytan av eller mellan kulor av plast med väl definierade exgenskaper. Dessa kulor, tvångsstyr sedan materialet med reeglerbas hastighet neråt genom en mötande luftström som torkar det. I den nedre delen av behållaren går en del av luftströmmen neråt och när materialet avlägsnas från kulorna följer det med torklfuten och avksiljs i en pulvercyklon. De rena kulorna återförs mgenom en central cylinder i behållaren för ett nytt kretslopp. Apparaturen har ett högt utnyttjande av den tillförda varmluften och är mycket kompakt och kräver därför ringa utrymme. Med Ecal-metoden behöver temperaturen hos den torkade produkten inte överstig 40-60 grader vilket är skonsamt mot slutprodukten. Huvudprincipen bakom metoden är att med reglerbar motströms-medströmstorkning åstadkomma en stor avdunstningsyta i en kontinuerlig process, där ytans kontakttid med torkgasen kan regleras och ges lång varaktighet.",Ny metod kallad ECAL-metodenSkonsamhet mot slutprodukten (processen); kompakthet (anläggningen); hög termisk verkningsgrad (temperaturen behöver inte överstiga 40-60 grader); helautomatisk drift; ringa personalbehov; 
7679001,211,Float Wash,Maskin för fiberavskiljning som möjliggör nästan fullständig återvinningsgrad av fibrer och fyllnadsmedel i avfallsvatten från pappers- och cellulosaindustrin. Avskiljningen av de fasta partiklarna (fraktioneringe) sker genom att avloppsvvattnet sprutas genom munstycken mot en horisontell silanordning. ,Hög återvinningsgrad; minskad färskvattenförbrukning hos pappersmaskiner
7679001,212,Float Wash,Maskin för fiberavskiljning som möjliggör nästan fullständig återvinningsgrad av fibrer och fyllnadsmedel i avfallsvatten från pappers- och cellulosaindustrin. Avskiljningen av de fasta partiklarna (fraktioneringe) sker genom att avloppsvvattnet sprutas genom munstycken mot en horisontell silanordning. ,Hög återvinningsgrad; minskad färskvattenförbrukning hos pappersmaskiner
7764001,212,,Dubbellagrade formationsviror av plast avsedda för pappersbanor med bättre hållfasthet. Plastviran behöver endast bytas två-tre gånger per år. ,Bättre hållfasthet och (samtidigt) god formstabilitet; behöver ej bytas lika ofta (vilket medför planeringsmöjligheter av driftstopp)
7817001,21211,,"Självgående slingstyrda transportvagnar, som lastar och lossar pappersrullar automatiskt. Vagnarna går själva till en automatisk batteriladdningsstation när de behöver laddning.",Automatisering
7836001,21,,"Metod för att genom höggradient magnetfält befria vatten från föroreningar. Metoden kan användas för att rena vatten från en mängd typer av substanser; kaolin (pappersindustrin), matarvatten vid kärnkraftverk, avloppsvatten från järn- och stålindustrin (innehåller ofta järnföroreningar som kan fångas upp i magnetfält). ",
7836001,24,,"Metod för att genom höggradient magnetfält befria vatten från föroreningar. Metoden kan användas för att rena vatten från en mängd typer av substanser; kaolin (pappersindustrin), matarvatten vid kärnkraftverk, avloppsvatten från järn- och stålindustrin (innehåller ofta järnföroreningar som kan fångas upp i magnetfält). ",
7836001,40,,"Metod för att genom höggradient magnetfält befria vatten från föroreningar. Metoden kan användas för att rena vatten från en mängd typer av substanser; kaolin (pappersindustrin), matarvatten vid kärnkraftverk, avloppsvatten från järn- och stålindustrin (innehåller ofta järnföroreningar som kan fångas upp i magnetfält). ",
7861001,403,,Pellets som pressats av pappersavfall i hushållssopor. Pelletsen ska användas till bränsle. En försöksanläggning finns på Värmdön utanför Stockholm. ,
7935001,452,,"Isoleringsmaterial bestående av vedfibrer. Tanken är att man t ex ska kunna använda kasserad pappersmassa. Massan avvattnas till 50 % torrhalt och impregneras med en flamskyddande, vattenlöst kemikalie. Därefter torkas massan i en flingtork vid drygt 200 C innan den pressas ihop till balar. Materialet kan antingen blåsas in mellan till exempel inner- och ytterväggar eller sprutas fast på en yta efter att ha blandats med bindemedel. ",
7968001,211,,"Fyllnadsmaterial bestående av små plastkulor som växer när de värms. Kulorna kallas mikrosfärer och kan blandas i papper, betong, polyester och sprängämnen. Kulorna är framställda av en polyvinylidenakrylnitrid sampolymer och har en gasdroppe i mitten. Det är isobutengas som inkapslats vid övertryck. ",
7968001,246,,"Fyllnadsmaterial bestående av små plastkulor som växer när de värms. Kulorna kallas mikrosfärer och kan blandas i papper, betong, polyester och sprängämnen. Kulorna är framställda av en polyvinylidenakrylnitrid sampolymer och har en gasdroppe i mitten. Det är isobutengas som inkapslats vid övertryck. ",
7968001,252,,"Fyllnadsmaterial bestående av små plastkulor som växer när de värms. Kulorna kallas mikrosfärer och kan blandas i papper, betong, polyester och sprängämnen. Kulorna är framställda av en polyvinylidenakrylnitrid sampolymer och har en gasdroppe i mitten. Det är isobutengas som inkapslats vid övertryck. ",
8002001,453,,Flamskyddat isoleringsmaterial av returpapper som sprutas på plats. ,
8023001,341,Premid,"System för identifiering av mikrovågor. Systemet bygger på två huvudkomponenter; ett eskortminne  som på avstånd kan programmeras och omprogrammeras, samt en kommunikator, som läser och programmerar ID-plattan och rapporterar till en dator. Systemet har olika tillämpningar som alla går ut på att spåra och hålla koll på enheter som rör sig i flöden; på fabriker, i traffiken, i skogen etc. ",
8043001,45430,,"Energisparande tapet. Tapeten består av tre skikt; aluminiumfolie, skumplast och kraftpapper. Tapete ska kunna användas till tilläggsisolering i gamla hus. ",
8095001,40300,,Träbricketter gjorda av träavfall. ,
8186001,2112,,"Instrument för att kontrollera kvaliteten på papper. Metoden går ut på att mäta hur ruggade fibrerna i pappret är. Ju mer ruggade de är desto lättare fäster de i varandra och ökar kvaliteten på pappret. Tidigare har manuell mätning skett var fjärde timme, med det nya instrumentet går det att mäta var tionde minut. ",Mätningar kan ske oftare. Automatiserad mätning. 
8358001,2112,Prenox,Utsläppsfri blekmetod för pappersmassa. Metoden innebär att massan förbehandlas med syre och kväveoxider innan den går vidare till slutblekning. På så sätt minskas kloranvändningen och de giftiga utsläppen. ,Inga utsläpp.
8423001,21219,,Teknik för mätning av pappers och plasts dielektricitetskonstant. Tekniken behövs för att kunna utveckla ett förseglingssystem baserad på dielektrisk uppvärmning. ,
8447001,2111,,Biologisk rening av förorenat vatten från klordioxidblekning av pappersmassa. Vid klordioxidblekning får man kloratjoner som biprodukt. Jonerna har visat sig ha dödande effekt på organismer i vatten utanför fabrikerna. Den nya innovationen är en metod med vilken en bakteria används för att rena det klorhaltiga avfallsvattnet. ,
8447001,24,,Biologisk rening av förorenat vatten från klordioxidblekning av pappersmassa. Vid klordioxidblekning får man kloratjoner som biprodukt. Jonerna har visat sig ha dödande effekt på organismer i vatten utanför fabrikerna. Den nya innovationen är en metod med vilken en bakteria används för att rena det klorhaltiga avfallsvattnet. ,
8538001,45,,"Träbalkslim som inte läcker formaldehyd. Limmet är ett så kallat PRF-lim, dvs. ett lim som består av fenol, resorinol och formaldehyd.",Krav från tyska myndigheter att sänka formaldehydutsläppenLim med kemikalien formaldehyd kan skada människor.
8666001,90,,"Modell för avfallshantering. Metoden bygger på en kombination av två tekniker: återvinning av returpapper och vattenrening. Soporna mals och sönderdelas ner till fibernivå och späds ut med vatten. Tyngre och ibrännbart material avskiljs. Det brännbara materialet, mest plast och papper, torkas slutligen till pulver eller pellets. Hela processen är sluten, ungefär som de modernaste massafabrikerna. ",
8706001,45,,Filter för inomhusmiljöer. Filtret bygger på användandet av papper som belagts med polymer. ,
8724001,90010,,Vattenrening i så kallade mark-växtsystem. Genom att leda vatten från kommunala reningsverk genom en odling av energiskog kan kvävet reduceras med upp till 95%. Att jämföra med traditionell rening som ligger på runt 20 %. Energiskogen skördas efter tre-fyra år och används som bränsle. En annan fördel är att systemet är relativt billigt. Nackdelar är att det kräver stor yta och att reningen bara kan ske under växtsäsongen på sommarhalvåret. ,Avsevärt högre reningsgrad än konventionella tekniker.
8769001,90023,,Kompoundrör som använder en gammal rörteknik till nya tillämpningar. Rören fungerar som värmeväxlare och sitter i ångpannornas väggar där värme överförs från de heta rökgaserna till vatten och ånga inuti rören. Tekniken utvecklades ursprungligen för ångpannor i papper- och massaindustrin men har funnit en ny marknad i sopförbränningsanläggningar.,
8878001,45,Alfa-sensor,"Kemisk sensor som avslöjar fukt och mögel i huselement. Sensorn av tyg eller papper ändrar färg när den utsätts för fukt.[par][par] Sensorn är avsedd att användas vid husbyggen, bland villaägare, skadereglerare, i kartonger och andra förpackningar. Det kontokortstora plåstret, en kemisk fuktindikator som klistras på en yta, ger en nyanserad bild av fukt och mögel. Exempelvis visar det hur fukten har utvecklats över tid. Mätsticka som avslöjar fukt och mögel i husväggar. Ett fem centimeter djupt hål borras med en åttamillimetersborr och sedan förs stickan in. Efter 24 timmar kan stickan tas ut och fukthalten, den så kallade RF-nivån, läsas av.",
8918001,212,,"Organisk elektronik tryckt på ett ledande papper med ett speciellt organiskt bläck, en elektrolyt läggs ovanpå mönstret. Batteri av två typer elektroder delar en elektrolyt tryckt på det ledande pappret räcker för att driva en display.",
8918001,21219,,"Organisk elektronik tryckt på ett ledande papper med ett speciellt organiskt bläck, en elektrolyt läggs ovanpå mönstret. Batteri av två typer elektroder delar en elektrolyt tryckt på det ledande pappret räcker för att driva en display.",
8956001,212,Press Eyes Portable,"Trådlöst sensorsystem som mäter trycket från pappersmaskinernas stora valsar i en dynamisk process, vilket möjliggör kostnadsbesparingar. [par][par]Sensorn är en tunn polymerfilm som ger ifrån sig signaler som är proportionella mot trycket och som avläses trådlöst. När sensorerna passerar valsarna så överförs signaler trådlöst till mottagarenheter.",Sensorteknik som byggs in i den så kallade maskinbeklädnaden.Möjliggör kostnadsbesparingar
9088001,25220,,"Miljövänlig bioplast för matförpackningar som skyddar maten från att bli dålig. Plasten, Xylan, tillhör en grupp ämnen somm kallas hemicellulosa, en av de vanligaste kolhydraterna i naturen och som finns i restprodukter från skogs- och lantbruk. Xylan har egenskapen att den fungerar som en barriär mt syre vilket kan användas för att skydda matvaror från att bli dåliga.","Xylan, en naturligt förekommande polymer"
9106001,45211,Reboard,"Sandwich-konstruktion av papp med en kärna av sammanlimmade stående wellpapp, avsedd för bostadsbygge. Ett papper limmas på översidan, ett annat på undersidan. Med ett lager uv-härdad lack klarar det fukt och brand.",Starkare; klarar fukt och brand; väger mindre; vattenbäeständigt; återvinningsbart; kan skäras och sågas
9123001,21,,Teknik för att fördela fibrer vid papperstillverkning med hjälp av ultraljud. ,
9179001,21,Online Optimizer,Ett avancerat system som håller redan på balansen mellan natrium och svavel och andra kemikalier vid exempelvis pappersbruk. ,
9266001,21121,,Aggregat för hantering av tidningspappersrullar. Utrustningen håller rullarna på ett skonsamt sätt. Fasthållningen av rullen sker mellan två kupade stålplattor. ,
9306001,211,Low friction pads,Gummimellanlägg som fästs på transportband vid t.ex. pappersbruk,svårigheter med att få plattor av polyetenbeklädnad att sitta kvarkostnadsbesparing för användaren
9411001,21211,,"Maskin för tillverkning av wellpapp, med ny arbetsprincip som bygger på beläggning genom sprutning av pappersbanorna med ett plastvax samtidigt som beläggningsmaterialet används för sammanfogning av de tre skikten.","spara kostnader för användare, minskat platsbehov"
9426001,21211,Papriformer,"Maskin där man formar pappersbanan på en cylinder mellan två plastviror, för mjukpapperstillverkning.",Låg energiförbrukning; enkelhet
9427001,21,Periformer,"Maskin där man formar pappersbanan på en cylinder mellan två plastviror, för tillverkning av tidningspapper, tryckpapper etc, ",
9427001,21121,Periformer,"Maskin där man formar pappersbanan på en cylinder mellan två plastviror, för tillverkning av tidningspapper, tryckpapper etc, ",
9427001,21122,Periformer,"Maskin där man formar pappersbanan på en cylinder mellan två plastviror, för tillverkning av tidningspapper, tryckpapper etc, ",
9437001,21,,Ny slipmetod för framställning av trähaltig pappersmassa,"minskad energiåtgång, bättre massakvalitét"
9443001,21,Compozil,"Dubbelverkande bindemedel som består av ett modifierat anjoniskt silikat och ett katjoniskt stärkelsederivat som har förmågan att kemiskt reagera med fyllnadsmedel under utfällning av partiklar med stor yta, och ger ett nytt sätt att angripa retentions- och avvattningsproblem i produktion av pappersmassa","problem vid produktion av pappersmassa med retention och avvattning; finpartiklar i papperet försvinnerBesparing av energi utan att pappersmassan förlorar sin styrka eller opacitet, förbättrar retention och avvattning, ger ökad torkstyrka. "
9453001,21,IRT-systemet,"Energisparande tork- och värmesystem för fuktprofilkorrigering och bestrykningtorkning baserat på infravärmeteknik.  Systemet är speciellt lämpligt för snabb, effektiv fuktprofilkorrigering och bestrykningstorkning. Metoden är baserad på avancerad infravärmeteknik, som företaget under många år tillmäpat inom andra industrigrenar. IRT-systemet är ett komplett och till varje pappersmaskin skräddarsytt system, där all nödvändig utrustning finns med. ",Energisparande (genom ersättning av olja med elektricitet); hög verkningsgrad; utrymmessnålt; kostnadsbesparingar för användaren
9459001,21111,,Adaptivt reglersystem för fläkttorkning av pappersmassa,
9465001,21,,Mätinstrument vars princip går ut på att en pappersremsa fästs i bägge ändar och ändarna förs mot varandra tills fibrerna i papperet krossas.,
9466001,21,Optiscanner,Mätram för styrning av pappersmaskin,Effektiviserar produktionen
9468001,21,,"Felsökningsapparatur som upptäcker slitage på pappersmaskiner, kan även användas på andra maskiner, såsom truckar.",Utvecklat på uppdrag av kund.
9471001,24,Determinex DL 2000,Analysrobot för kontroll och tillverkning av klordioxid. Roboten ger möjlighet till bättre utnyttjande av både råvaror och bättre färdig produkt samt ger ett jämnare blekresultat och säkrare miljökontroll. Klordioxid används för blekning av pappersmassa.,Ger bättre nyttjande av råvaror och sparar pengar pga automatisering av tidigare manuellt arbete.
9478001,21,High Speed Meetering,Maskin för bestrykning av papper. ,
9484001,21,,"Papperstork som bygger på infraröd teknik. Lösningen består i att snabbt tillföra IR-strålning omedelbart efter smetappliceringen och minimera tiden för bindemedelsvandring innan smetskiktet har stelnat. Genom användning av en strålning med kort dominerande våglängd uppnår man även en uppvärmning av baspappret och sänker temperaturfalet från den bestrukna ytan och inåt, vilket också reducerar bindemedelsvandringen. Baksidan av pappret värms för övrigt även av den reflekterande strålningen från motreflektorn på papprets baksida. ",
9490001,21,Combikraft,"Sömfilt som placeras på papperspressen. Utvecklingen hade under senare delen av 70-talet inriktats mot ökade linjetryck och hårdare pressvalsar. Kraven på pressfiltarnas avvattningsförmåga och längre gångtider hade därmed ökat. För att möta dessa krav hade utvecklingen av pressfiltar gått mot en konstruktion av inkompressibla filtar med hög porvolym för att större vattenvolymer skulle kunna hanteras i nypet, så att kross motverkas i pappersbanan. En begränsande fatkor vid konstruktionen av flerlagrade högavvattnade filtar var kravet på flexibilitet för snabb installation. Filtarna var ofta styva och besvärliga att hantera för maskinpersonalen. Förutom snabbare och enklare filtbyte har den sömmade filten en mäktig fördel -gångtiderna i maskinerna blev dubbelt så långa i genomsnitt. Den sömmade filten sys på pressen.","Besvärligt trä på konventionell filt.Längre gångtid i maskinerna, sparar pengar. "
9492001,21,CR-filtret,"Vid bestrykning av papper erhålls vissa avlopp som är så utspädda att de inte utan vidare kan återföras till smetköket. Genom membranfiltrering är det möjligt att koncentrera dessa flöden, så att torrsubstansen kan återanvändas. Det nya med det nya filtret är att dess funktion väsentligt reducerar den koncentrations-polarisering vid membranytorna som så starkt begränsar kapaciteten vid membranfiltrering, speciellt av viskösa suspensioner.",
9492001,24,CR-filtret,"Vid bestrykning av papper erhålls vissa avlopp som är så utspädda att de inte utan vidare kan återföras till smetköket. Genom membranfiltrering är det möjligt att koncentrera dessa flöden, så att torrsubstansen kan återanvändas. Det nya med det nya filtret är att dess funktion väsentligt reducerar den koncentrations-polarisering vid membranytorna som så starkt begränsar kapaciteten vid membranfiltrering, speciellt av viskösa suspensioner.",
